Taxa,Species,length,year,fjord,d2H,d15N,d13C,TL,T40,S40,d2H_w,
YOY fish,YOY Herring,34,2012,PWS,-136.86,11.42,-20.38,3.3,7.62,30.445,-14.24,
YOY fish,YOY Herring,29,2012,PWS,-151.94,11.72,-19.9,3.4,7.582,28.986,-23.39,
YOY fish,YOY Herring,36,2012,PWS,-127.55,11.25,-21.07,3.2,7.62,30.445,-14.24,
YOY fish,YOY Herring,39,2012,PWS,-134.92,11.09,-21.18,3.2,7.62,30.445,-14.24,
YOY fish,YOY Herring,31,2012,PWS,-153.34,11.66,-19.86,3.4,7.582,28.986,-23.39,
YOY fish,YOY Herring,34,2012,PWS,-141.3,10.9,-20.14,3.1,7.62,30.445,-14.24,
YOY fish,YOY Herring,38,2012,Unakwik,-158.21,12.1,-20.07,3.5,5.471,27.654,-28.26,
YOY fish,YOY Herring,41,2012,Unakwik,-150.11,12.26,-19.97,3.5,5.471,27.654,-28.26,
YOY fish,YOY Herring,39,2012,Unakwik,-156.85,11.94,-21.15,3.4,5.471,27.654,-28.26,
YOY fish,YOY Herring,37,2012,Unakwik,-159.39,12.18,-19.76,3.5,5.471,27.654,-28.26,
YOY fish,YOY Herring,37,2012,Unakwik,-156.16,12.35,-19.63,3.6,5.471,27.654,-28.26,
YOY fish,YOY Pollock,57,2012,PWS,-143.52,11.96,-19.22,3.4,6.538,27.702,-30.2,
YOY fish,YOY Pollock,32,2012,Unakwik,-161.73,12,-19.38,3.5,5.471,27.654,-28.26,
YOY fish,YOY Pollock,37,2012,Unakwik,-162.83,11.98,-20.61,3.5,5.471,27.654,-28.26,
YOY fish,YOY Pollock,46,2012,Unakwik,-146.97,13.48,-18.68,3.9,5.471,27.654,-28.26,
YOY fish,YOY Pollock,55,2012,PWS,-143.48,11.39,-19.89,3.3,6.538,27.702,-30.2,
YOY fish,YOY Pollock,58,2012,PWS,-142.66,11.47,-19.72,3.3,6.538,27.702,-30.2,
YOY fish,YOY Pollock,55,2012,PWS,-165.11,11.66,-18.67,3.4,6.538,27.702,-30.2,
YOY fish,YOY Pollock,57,2012,PWS,-138.55,11.66,-21.1,3.4,6.538,27.702,-30.2,
YOY fish,YOY Pollock,56,2012,Unakwik,-160.1,12.33,-20.45,3.6,5.471,27.654,-28.26,
YOY fish,YOY Pollock,65,2012,PWS,-144.15,12.01,-20.8,3.5,6.538,27.702,-30.2,
YOY fish,YOY Pollock,42,2012,Unakwik,-157.52,12.01,-19.15,3.5,5.471,27.654,-28.26,
YOY fish,YOY Pollock,41,2012,Unakwik,-169.72,11.84,-19.25,3.4,5.471,27.654,-28.26,
YOY fish,YOY Pollock,49,2012,PWS,-136.48,11.99,-18.69,3.5,6.538,27.702,-30.2,
YOY fish,YOY Pollock,55,2012,Unakwik,-162.09,11.79,-19.1,3.4,5.471,27.654,-28.26,
YOY fish,YOY Pollock,43,2012,Unakwik,-165.25,12.14,-18.99,3.5,5.471,27.654,-28.26,
YOY fish,YOY Pollock,35,2012,Unakwik,-165.55,11.79,-19.23,3.4,5.471,27.654,-28.26,
YOY fish,YOY Pollock,46,2012,Unakwik,-170.66,12.14,-20.34,3.5,5.471,27.654,-28.26,
YOY fish,YOY Pollock,36,2012,Unakwik,-149.84,11.95,-19.15,3.4,5.471,27.654,-28.26,
YOY fish,YOY Pollock,41,2012,Unakwik,-172.02,12.36,-19.06,3.6,5.471,27.654,-28.26,
YOY fish,YOY Pollock,48,2012,Unakwik,-160.45,11.65,-19.32,3.4,5.471,27.654,-28.26,
YOY fish,YOY Pollock,69,2012,PWS,-129.95,11.88,-19.01,3.4,6.538,27.702,-30.2,
YOY fish,YOY Pollock,42,2012,Unakwik,-159.99,12.06,-19.1,3.5,5.471,27.654,-28.26,
YOY fish,YOY Pollock,50,2012,Unakwik,-154.82,12.09,-19.22,3.5,5.471,27.654,-28.26,
YOY fish,YOY Pollock,55,2012,PWS,-142.15,11.79,-19.3,3.4,6.538,27.702,-30.2,
YOY fish,YOY Pollock,45,2012,Unakwik,-158.05,11.9,-18.89,3.4,5.471,27.654,-28.26,
YOY fish,YOY Pollock,43,2013,Icy Bay,-148.65,11.4,-19.1,3.3,6.055,29.007,-32.26,
YOY fish,YOY Pollock,30,2013,Blackstone Bay,-145.43,10.74,-20.34,3.1,8.808,24.815,-37.25,
YOY fish,YOY Pollock,49,2013,Columbia Bay,-145.17,10.1,-19.02,2.9,3.953,26.231,-36.12,
YOY fish,YOY Pollock,30,2013,Blackstone Bay,-143.83,10.89,-19.96,3.1,8.808,24.815,-37.25,
YOY fish,YOY Pollock,43,2013,Blackstone Bay,-143.29,11.16,-19.98,3.2,8.808,24.815,-37.25,
YOY fish,YOY Pollock,45,2013,Blackstone Bay,-142.91,10.9,-20.05,3.1,8.808,24.815,-37.25,
YOY fish,YOY Pollock,36,2013,Blackstone Bay,-142.7,10.71,-20,3.1,8.808,24.815,-37.25,
YOY fish,YOY Pollock,45,2013,Blackstone Bay,-141.62,11.28,-19.59,3.3,6.844,28.312,-35.17,
YOY fish,YOY Pollock,49,2013,Icy Bay,-139.55,11.11,-18.63,3.2,6.055,29.007,-32.26,
YOY fish,YOY Pollock,52,2013,Blackstone Bay,-138.72,12.08,-20.21,3.5,6.844,28.312,-35.17,
YOY fish,YOY Pollock,50,2013,Columbia Bay,-136.94,10.75,-19.12,3.1,3.953,26.231,-36.12,
YOY fish,YOY Pollock,76,2013,Columbia Bay,-135.51,10.8,-19.06,3.1,3.953,26.231,-36.12,
YOY fish,YOY Pollock,40,2013,Blackstone Bay,-134.52,11.18,-19.56,3.2,6.844,28.312,-35.17,
YOY fish,YOY Pollock,60,2013,Blackstone Bay,-133.54,11.84,-19.56,3.4,6.844,28.312,-35.17,
YOY fish,YOY Pollock,67,2013,Icy Bay,-130.23,11.88,-18.55,3.4,6.055,29.007,-32.26,
YOY fish,YOY Pollock,65,2013,Blackstone Bay,-128.53,12.01,-19.16,3.5,6.844,28.312,-35.17,
YOY fish,YOY Pollock,57,2013,Blackstone Bay,-128.2,11.82,-18.94,3.4,6.844,28.312,-35.17,
